"YEAR","est","logse"
"2001",32.760573569266,0.246823602139909
"2002",88.5454982072502,0.221643656846253
"2003",40.1320049545468,0.232888973518995
"2004",82.6122454009789,0.177663293140371
"2005",7.07264541756151,0.468903524987672
"2006",0.255217762190513,0.662498047234921
"2007",1.09634147022554,0.484625223440953
"2008",13.0854871699111,0.397751557540908
"2009",48.1359978334475,0.214380937905533
"2010",124.609550486499,0.294802194112125
"2011",35.0032899035288,0.353008572542994
"2012",135.0613085921,0.413566011865199
"2013",7013.21466336533,0.104964883473529
"2014",452.752740389454,0.210440824535744
"2015",557.140836949407,0.202517576642161
"2016",229.448088150108,0.247904983100564
"2017",235.584931347165,0.294625659143005
"2018",43.2816932042625,0.374849296509933
"2019",11.9024672490665,0.439661126693375
"2021",329.439716289193,0.345113193956714
"2022",63.4378163274235,0.446020259215788
"2023",431.99421756598,0.232031538029204
"2024",910.428450255828,0.220209395393461
